trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",30,10,-31.089015429826315,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,14,10.719542345833483,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,10,-73.1643342850918,"{0: 6, 1: 1, 2: 0, 3: 2, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",30,12,9.846167840018857,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,17,15.495976689396436,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",20,0,14.452745425243688,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,7,0.12195418204669783,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",30,0,-85.88464677699534,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,7,15.09067239897383,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",25,5,23.257384368744386,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,6,-14.46907788101999,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,19,10.934209408799504,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,9,19.25522575476077,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",25,10,-41.39338326454856,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,0,-23.653736608404554,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",35,3,-16.841699074236374,"{0: 27, 1: 1, 2: 3, 3: 1, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",25,11,-8.12997174123759,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,15,9.385905178914285,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",30,0,-43.85341850905167,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,8,-10.987528885090272,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,6,-10.085987726310254,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.33621649370673334}",20,1,4.018402821096522,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,13,1.357037976734887,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",25,4,32.622736162130785,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,4,-48.28366415379407,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
